Date,Revenue Source,Platform/Channel,Revenue Amount,Currency,Notes
2023-01-04,Website,Direct Website,10709,USD,Website through Direct Website
2023-01-05,Referral,Affiliate Program,2413,USD,Referral through Affiliate Program
2023-01-06,In-Store,Store Visit,8785,USD,In-Store through Store Visit
2023-01-07,Social Media,Instagram,3434,USD,Social Media through Instagram
2023-01-08,Seasonal Campaign,Black Friday,7253,USD,Seasonal Campaign through Black Friday
2023-01-09,In-Store,Store Visit,5648,USD,In-Store through Store Visit
2023-01-10,Seasonal Campaign,End-of-Year Sale,6433,USD,Seasonal Campaign through End-of-Year Sale
2023-01-11,Referral,Customer Referral,1853,USD,Referral through Customer Referral
2023-01-12,Social Media,Instagram,5858,USD,Social Media through Instagram
2023-01-13,In-Store,Store Visit,9004,USD,In-Store through Store Visit
2023-01-14,Email Campaign,Product Launch,2616,USD,Email Campaign through Product Launch
2023-01-15,Social Media,Twitter,3952,USD,Social Media through Twitter
2023-01-16,Social Media,LinkedIn,4777,USD,Social Media through LinkedIn
2023-01-17,Seasonal Campaign,Black Friday,13101,USD,Seasonal Campaign through Black Friday
2023-01-18,In-Store,Store Visit,9770,USD,In-Store through Store Visit
2023-01-19,In-Store,Store Visit,7944,USD,In-Store through Store Visit
2023-01-20,Referral,Customer Referral,2652,USD,Referral through Customer Referral
2023-01-21,Email Campaign,Monthly Newsletter,3353,USD,Email Campaign through Monthly Newsletter
2023-01-22,Referral,Customer Referral,1901,USD,Referral through Customer Referral
2023-01-23,In-Store,Store Visit,9669,USD,In-Store through Store Visit
2023-01-24,Seasonal Campaign,End-of-Year Sale,11372,USD,Seasonal Campaign through End-of-Year Sale
2023-01-25,Referral,Customer Referral,2078,USD,Referral through Customer Referral
2023-01-26,Email Campaign,Monthly Newsletter,2073,USD,Email Campaign through Monthly Newsletter
2023-01-27,Email Campaign,Product Launch,1955,USD,Email Campaign through Product Launch
2023-01-28,Email Campaign,Monthly Newsletter,3179,USD,Email Campaign through Monthly Newsletter
2023-01-29,Email Campaign,Monthly Newsletter,3042,USD,Email Campaign through Monthly Newsletter
2023-01-30,Seasonal Campaign,End-of-Year Sale,7433,USD,Seasonal Campaign through End-of-Year Sale
2023-01-31,Referral,Customer Referral,1531,USD,Referral through Customer Referral
2023-02-01,Social Media,Instagram,5225,USD,Social Media through Instagram
2023-02-02,In-Store,Store Visit,8681,USD,In-Store through Store Visit
2023-02-03,Seasonal Campaign,End-of-Year Sale,9200,USD,Seasonal Campaign through End-of-Year Sale
2023-02-04,Website,E-commerce,8574,USD,Website through E-commerce
2023-02-05,Referral,Affiliate Program,2767,USD,Referral through Affiliate Program
2023-02-06,Referral,Affiliate Program,1565,USD,Referral through Affiliate Program
2023-02-07,Social Media,Instagram,3685,USD,Social Media through Instagram
2023-02-08,Email Campaign,Product Launch,2894,USD,Email Campaign through Product Launch
2023-02-09,Email Campaign,Monthly Newsletter,2226,USD,Email Campaign through Monthly Newsletter
2023-02-10,Referral,Customer Referral,2784,USD,Referral through Customer Referral
2023-02-11,Website,Direct Website,7690,USD,Website through Direct Website
2023-02-12,Website,Direct Website,8391,USD,Website through Direct Website
2023-02-13,In-Store,Store Visit,8468,USD,In-Store through Store Visit
2023-02-14,Website,E-commerce,9273,USD,Website through E-commerce
2023-02-15,Referral,Customer Referral,1650,USD,Referral through Customer Referral
2023-02-16,In-Store,Store Visit,9655,USD,In-Store through Store Visit
2023-02-17,Email Campaign,Monthly Newsletter,2539,USD,Email Campaign through Monthly Newsletter
2023-02-18,Website,E-commerce,5475,USD,Website through E-commerce
2023-02-19,Website,Direct Website,6837,USD,Website through Direct Website
2023-02-20,Social Media,Instagram,5296,USD,Social Media through Instagram
2023-02-21,Email Campaign,Monthly Newsletter,2564,USD,Email Campaign through Monthly Newsletter
2023-02-22,Referral,Customer Referral,2137,USD,Referral through Customer Referral
2023-02-23,Referral,Affiliate Program,2519,USD,Referral through Affiliate Program
2023-02-24,Website,E-commerce,9004,USD,Website through E-commerce
2023-02-25,Seasonal Campaign,Holiday Sale,9316,USD,Seasonal Campaign through Holiday Sale
2023-02-26,Social Media,LinkedIn,4685,USD,Social Media through LinkedIn
2023-02-27,Website,Direct Website,6567,USD,Website through Direct Website
2023-02-28,Website,Direct Website,7969,USD,Website through Direct Website
2023-03-01,Website,E-commerce,8344,USD,Website through E-commerce
2023-03-02,Website,Direct Website,10710,USD,Website through Direct Website
2023-03-03,Social Media,Instagram,4507,USD,Social Media through Instagram
2023-03-04,Seasonal Campaign,Black Friday,10392,USD,Seasonal Campaign through Black Friday
2023-03-05,Seasonal Campaign,End-of-Year Sale,8086,USD,Seasonal Campaign through End-of-Year Sale
2023-03-06,Email Campaign,Product Launch,3483,USD,Email Campaign through Product Launch
2023-03-07,Email Campaign,Monthly Newsletter,1941,USD,Email Campaign through Monthly Newsletter
2023-03-08,Website,E-commerce,7723,USD,Website through E-commerce
2023-03-09,Referral,Customer Referral,2566,USD,Referral through Customer Referral
2023-03-10,Seasonal Campaign,Black Friday,13175,USD,Seasonal Campaign through Black Friday
2023-03-11,Social Media,Facebook,3727,USD,Social Media through Facebook
2023-03-12,Email Campaign,Monthly Newsletter,2994,USD,Email Campaign through Monthly Newsletter
2023-03-13,Email Campaign,Product Launch,1846,USD,Email Campaign through Product Launch
2023-03-14,In-Store,Store Visit,6489,USD,In-Store through Store Visit
2023-03-15,Social Media,Instagram,3221,USD,Social Media through Instagram
2023-03-16,Social Media,Facebook,3627,USD,Social Media through Facebook
2023-03-17,Seasonal Campaign,Holiday Sale,6630,USD,Seasonal Campaign through Holiday Sale
2023-03-18,Referral,Affiliate Program,1898,USD,Referral through Affiliate Program
2023-03-19,Email Campaign,Product Launch,2831,USD,Email Campaign through Product Launch
2023-03-20,Social Media,Instagram,5044,USD,Social Media through Instagram
2023-03-21,Referral,Affiliate Program,1301,USD,Referral through Affiliate Program
2023-03-22,Email Campaign,Product Launch,2787,USD,Email Campaign through Product Launch
2023-03-23,Email Campaign,Monthly Newsletter,3092,USD,Email Campaign through Monthly Newsletter
2023-03-24,Seasonal Campaign,End-of-Year Sale,12321,USD,Seasonal Campaign through End-of-Year Sale
2023-03-25,Social Media,Twitter,4157,USD,Social Media through Twitter
2023-03-26,Website,E-commerce,6346,USD,Website through E-commerce
2023-03-27,Referral,Affiliate Program,2552,USD,Referral through Affiliate Program
2023-03-28,Email Campaign,Product Launch,2492,USD,Email Campaign through Product Launch
2023-03-29,Email Campaign,Monthly Newsletter,2156,USD,Email Campaign through Monthly Newsletter
2023-03-30,Social Media,Twitter,5907,USD,Social Media through Twitter
2023-03-31,Email Campaign,Monthly Newsletter,1679,USD,Email Campaign through Monthly Newsletter
2023-04-01,In-Store,Store Visit,6359,USD,In-Store through Store Visit
2023-04-02,Referral,Customer Referral,2685,USD,Referral through Customer Referral
2023-04-03,Website,E-commerce,9569,USD,Website through E-commerce
2023-04-04,Seasonal Campaign,Black Friday,11050,USD,Seasonal Campaign through Black Friday
2023-04-05,Social Media,Twitter,6083,USD,Social Media through Twitter
2023-04-06,Seasonal Campaign,End-of-Year Sale,12731,USD,Seasonal Campaign through End-of-Year Sale
2023-04-07,In-Store,Store Visit,8153,USD,In-Store through Store Visit
2023-04-08,Website,E-commerce,7516,USD,Website through E-commerce
2023-04-09,In-Store,Store Visit,8398,USD,In-Store through Store Visit
2023-04-10,Website,E-commerce,6709,USD,Website through E-commerce
2023-04-11,Social Media,Twitter,4544,USD,Social Media through Twitter
2023-04-12,Seasonal Campaign,End-of-Year Sale,8721,USD,Seasonal Campaign through End-of-Year Sale
2023-04-13,Email Campaign,Product Launch,3184,USD,Email Campaign through Product Launch
2023-04-14,In-Store,Store Visit,7864,USD,In-Store through Store Visit
2023-04-15,Social Media,Twitter,5851,USD,Social Media through Twitter
2023-04-16,Website,Direct Website,7320,USD,Website through Direct Website
2023-04-17,In-Store,Store Visit,9632,USD,In-Store through Store Visit
2023-04-18,Email Campaign,Product Launch,1501,USD,Email Campaign through Product Launch
2023-04-19,Referral,Affiliate Program,1310,USD,Referral through Affiliate Program
2023-04-20,Website,E-commerce,9206,USD,Website through E-commerce
2023-04-21,Seasonal Campaign,Black Friday,9004,USD,Seasonal Campaign through Black Friday
2023-04-22,In-Store,Store Visit,6971,USD,In-Store through Store Visit
2023-04-23,Email Campaign,Monthly Newsletter,3314,USD,Email Campaign through Monthly Newsletter
2023-04-24,Email Campaign,Product Launch,3035,USD,Email Campaign through Product Launch
2023-04-25,In-Store,Store Visit,6714,USD,In-Store through Store Visit
2023-04-26,Email Campaign,Monthly Newsletter,2922,USD,Email Campaign through Monthly Newsletter
2023-04-27,Referral,Customer Referral,1564,USD,Referral through Customer Referral
2023-04-28,Email Campaign,Product Launch,3147,USD,Email Campaign through Product Launch
2023-04-29,Social Media,Facebook,6793,USD,Social Media through Facebook
2023-04-30,Social Media,LinkedIn,3665,USD,Social Media through LinkedIn
2023-05-01,Seasonal Campaign,Black Friday,9126,USD,Seasonal Campaign through Black Friday
2023-05-02,Social Media,Twitter,5772,USD,Social Media through Twitter
2023-05-03,Email Campaign,Monthly Newsletter,2944,USD,Email Campaign through Monthly Newsletter
2023-05-04,Seasonal Campaign,Holiday Sale,6620,USD,Seasonal Campaign through Holiday Sale
2023-05-05,Seasonal Campaign,Black Friday,13680,USD,Seasonal Campaign through Black Friday
2023-05-06,Website,E-commerce,9584,USD,Website through E-commerce
2023-05-07,Seasonal Campaign,Black Friday,10234,USD,Seasonal Campaign through Black Friday
2023-05-08,Email Campaign,Monthly Newsletter,2053,USD,Email Campaign through Monthly Newsletter
2023-05-09,Seasonal Campaign,End-of-Year Sale,10159,USD,Seasonal Campaign through End-of-Year Sale
2023-05-10,Seasonal Campaign,End-of-Year Sale,13017,USD,Seasonal Campaign through End-of-Year Sale
2023-05-11,Website,E-commerce,9787,USD,Website through E-commerce
2023-05-12,Email Campaign,Monthly Newsletter,2348,USD,Email Campaign through Monthly Newsletter
2023-05-13,Website,E-commerce,8585,USD,Website through E-commerce
2023-05-14,In-Store,Store Visit,4991,USD,In-Store through Store Visit
2023-05-15,Email Campaign,Monthly Newsletter,2075,USD,Email Campaign through Monthly Newsletter
